variable,item,region,year,unit,value,datasrc
Total Energy Consumption,Bbtu,CA,2012,Billion Btu,29352,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,2013,Billion Btu,37362,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,2014,Billion Btu,41998,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,2015,Billion Btu,46516,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,2016,Billion Btu,52498,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,2017,Billion Btu,48598,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,2018,Billion Btu,2472,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CA,2019,Billion Btu,16092,SEDS.ELNIB.CA.A
Total Energy Consumption,Bbtu,CO,1960,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1961,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1962,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1963,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1964,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1965,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1966,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1967,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1968,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1969,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1970,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1971,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1972,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1973,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1974,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1975,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1976,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1977,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1978,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1979,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1980,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1981,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1982,Billion Btu,0,SEDS.ELNIB.CO.A
