YEAR,MONTH,Purchase.Type,FUEL_GROUP,AVERAGE_FUEL_COST
2000,6,Henry Hub,Natural Gas,4.29
2000,5,Henry Hub,Natural Gas,3.59
2000,4,Henry Hub,Natural Gas,3.04
2000,3,Henry Hub,Natural Gas,2.79
2000,2,Henry Hub,Natural Gas,2.66
2000,1,Henry Hub,Natural Gas,2.42
1999,12,Henry Hub,Natural Gas,2.36
1999,11,Henry Hub,Natural Gas,2.37
1999,10,Henry Hub,Natural Gas,2.73
1999,9,Henry Hub,Natural Gas,2.55
1999,8,Henry Hub,Natural Gas,2.8
1999,7,Henry Hub,Natural Gas,2.31
1999,6,Henry Hub,Natural Gas,2.3
1999,5,Henry Hub,Natural Gas,2.26
1999,4,Henry Hub,Natural Gas,2.15
1999,3,Henry Hub,Natural Gas,1.79
1999,2,Henry Hub,Natural Gas,1.77
1999,1,Henry Hub,Natural Gas,1.85
1998,12,Henry Hub,Natural Gas,1.72
1998,11,Henry Hub,Natural Gas,2.12
1998,10,Henry Hub,Natural Gas,1.91
1998,9,Henry Hub,Natural Gas,2.02
1998,8,Henry Hub,Natural Gas,1.85
1998,7,Henry Hub,Natural Gas,2.17
1998,6,Henry Hub,Natural Gas,2.17
1998,5,Henry Hub,Natural Gas,2.14
1998,4,Henry Hub,Natural Gas,2.43
1998,3,Henry Hub,Natural Gas,2.24
1998,2,Henry Hub,Natural Gas,2.23
1998,1,Henry Hub,Natural Gas,2.09
1997,12,Henry Hub,Natural Gas,2.35
1997,11,Henry Hub,Natural Gas,3.01
1997,10,Henry Hub,Natural Gas,3.07
1997,9,Henry Hub,Natural Gas,2.88
1997,8,Henry Hub,Natural Gas,2.49
1997,7,Henry Hub,Natural Gas,2.19
1997,6,Henry Hub,Natural Gas,2.2
1997,5,Henry Hub,Natural Gas,2.25
1997,4,Henry Hub,Natural Gas,2.03
1997,3,Henry Hub,Natural Gas,1.89
1997,2,Henry Hub,Natural Gas,2.15
1997,1,Henry Hub,Natural Gas,3.45
