variable,item,region,year,unit,value,datasrc
Total Energy Consumption,Bbtu,AZ,2019,Billion Btu,1555764,SEDS.TETCB.AZ.A
Total Energy Consumption,Bbtu,CA,1960,Billion Btu,3449919,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1961,Billion Btu,3609108,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1962,Billion Btu,3724117,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1963,Billion Btu,3923736,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1964,Billion Btu,4219633,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1965,Billion Btu,4385719,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1966,Billion Btu,4645217,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1967,Billion Btu,4841003,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1968,Billion Btu,5115122,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1969,Billion Btu,5356783,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1970,Billion Btu,5499139,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1971,Billion Btu,5747656,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1972,Billion Btu,5872011,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1973,Billion Btu,6047069,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1974,Billion Btu,5816324,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1975,Billion Btu,6032845,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1976,Billion Btu,6186312,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1977,Billion Btu,6361466,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1978,Billion Btu,6472696,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1979,Billion Btu,6727621,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1980,Billion Btu,6540472,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1981,Billion Btu,6332205,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1982,Billion Btu,6076050,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1983,Billion Btu,6092316,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1984,Billion Btu,6533180,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1985,Billion Btu,6601489,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1986,Billion Btu,6501121,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1987,Billion Btu,6938475,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1988,Billion Btu,7143783,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1989,Billion Btu,7420327,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1990,Billion Btu,7439345,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1991,Billion Btu,7326350,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1992,Billion Btu,7307644,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1993,Billion Btu,7138310,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1994,Billion Btu,7273001,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1995,Billion Btu,7295592,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1996,Billion Btu,7405341,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1997,Billion Btu,7528234,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1998,Billion Btu,7806353,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,1999,Billion Btu,7801839,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,2000,Billion Btu,7893213,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,2001,Billion Btu,7918527,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,2002,Billion Btu,7963233,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,2003,Billion Btu,7848432,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,2004,Billion Btu,8216696,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,2005,Billion Btu,8151626,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,2006,Billion Btu,8246839,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,2007,Billion Btu,8260684,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,2008,Billion Btu,8075200,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,2009,Billion Btu,7774769,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,2010,Billion Btu,7651143,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,2011,Billion Btu,7650833,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,2012,Billion Btu,7445177,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,2013,Billion Btu,7532140,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,2014,Billion Btu,7445792,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,2015,Billion Btu,7525175,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,2016,Billion Btu,7647512,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,2017,Billion Btu,7765542,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,2018,Billion Btu,7864087,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CA,2019,Billion Btu,7787175,SEDS.TETCB.CA.A
Total Energy Consumption,Bbtu,CO,1960,Billion Btu,424556,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1961,Billion Btu,461749,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1962,Billion Btu,468348,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1963,Billion Btu,465929,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1964,Billion Btu,498054,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1965,Billion Btu,508687,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1966,Billion Btu,531922,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1967,Billion Btu,555487,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1968,Billion Btu,622770,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1969,Billion Btu,648877,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1970,Billion Btu,677623,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1971,Billion Btu,691909,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1972,Billion Btu,756325,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1973,Billion Btu,801930,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1974,Billion Btu,787106,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1975,Billion Btu,784438,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1976,Billion Btu,818799,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1977,Billion Btu,835096,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1978,Billion Btu,850246,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1979,Billion Btu,856031,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1980,Billion Btu,838088,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1981,Billion Btu,816311,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1982,Billion Btu,833092,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1983,Billion Btu,831430,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1984,Billion Btu,867717,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1985,Billion Btu,869749,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1986,Billion Btu,859444,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1987,Billion Btu,866162,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1988,Billion Btu,899364,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1989,Billion Btu,915127,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1990,Billion Btu,944300,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1991,Billion Btu,994850,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1992,Billion Btu,995693,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1993,Billion Btu,1062928,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1994,Billion Btu,1065404,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1995,Billion Btu,1091927,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1996,Billion Btu,1142176,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1997,Billion Btu,1138201,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1998,Billion Btu,1184705,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,1999,Billion Btu,1206092,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,2000,Billion Btu,1268642,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,2001,Billion Btu,1369867,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,2002,Billion Btu,1370535,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,2003,Billion Btu,1372163,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,2004,Billion Btu,1399562,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,2005,Billion Btu,1435704,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,2006,Billion Btu,1451337,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,2007,Billion Btu,1483848,SEDS.TETCB.CO.A
Total Energy Consumption,Bbtu,CO,2008,Billion Btu,1487459,SEDS.TETCB.CO.A
