variable,item,region,year,unit,value,datasrc
Total Energy Consumption,Bbtu,CA,2013,Billion Btu,2777419,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,2014,Billion Btu,2798666,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,2015,Billion Btu,2865490,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,2016,Billion Btu,2970779,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,2017,Billion Btu,3049271,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,2018,Billion Btu,3062210,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CA,2019,Billion Btu,3058190,SEDS.TEACB.CA.A
Total Energy Consumption,Bbtu,CO,1960,Billion Btu,104450,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1961,Billion Btu,114878,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1962,Billion Btu,122860,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1963,Billion Btu,129258,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1964,Billion Btu,133723,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1965,Billion Btu,138618,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1966,Billion Btu,147575,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1967,Billion Btu,154378,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1968,Billion Btu,172368,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1969,Billion Btu,182623,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1970,Billion Btu,195193,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1971,Billion Btu,206248,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1972,Billion Btu,224073,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1973,Billion Btu,234426,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1974,Billion Btu,231020,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1975,Billion Btu,237340,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1976,Billion Btu,250996,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1977,Billion Btu,262260,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1978,Billion Btu,279228,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1979,Billion Btu,269764,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1980,Billion Btu,251120,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1981,Billion Btu,249246,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1982,Billion Btu,259137,SEDS.TEACB.CO.A
