region,plant_type,load_segment,Value
Northeast,fc_N,sprfl_day,0.9
Northeast,fc_N,sprfl_mrnevn,0.9
Northeast,fc_N,sprfl_night,0.9
Northeast,fc_N,wntr_day,0.9
Northeast,fc_N,wntr_mrnevn,0.9
Northeast,fc_N,wntr_night,0.9
Northeast,fc_N,peak,0.9
Northeast,geo_N_1,sum_day,0.87
Northeast,geo_N_1,sum_mrnevn,0.87
Northeast,geo_N_1,sum_night,0.87
Northeast,geo_N_1,sprfl_day,0.87
Northeast,geo_N_1,sprfl_mrnevn,0.87
Northeast,geo_N_1,sprfl_night,0.87
Northeast,geo_N_1,wntr_day,0.87
Northeast,geo_N_1,wntr_mrnevn,0.87
Northeast,geo_N_1,wntr_night,0.87
Northeast,geo_N_1,peak,0.87
Northeast,geo_N_2,sum_day,0.87
Northeast,geo_N_2,sum_mrnevn,0.87
Northeast,geo_N_2,sum_night,0.87
Northeast,geo_N_2,sprfl_day,0.87
Northeast,geo_N_2,sprfl_mrnevn,0.87
Northeast,geo_N_2,sprfl_night,0.87
Northeast,geo_N_2,wntr_day,0.87
Northeast,geo_N_2,wntr_mrnevn,0.87
Northeast,geo_N_2,wntr_night,0.87
Northeast,geo_N_2,peak,0.87
Northeast,geo_N_3,sum_day,0.87
Northeast,geo_N_3,sum_mrnevn,0.87
Northeast,geo_N_3,sum_night,0.87
Northeast,geo_N_3,sprfl_day,0.87
Northeast,geo_N_3,sprfl_mrnevn,0.87
Northeast,geo_N_3,sprfl_night,0.87
Northeast,geo_N_3,wntr_day,0.87
Northeast,geo_N_3,wntr_mrnevn,0.87
Northeast,geo_N_3,wntr_night,0.87
Northeast,geo_N_3,peak,0.87
Northeast,geo_N_4,sum_day,0.87
Northeast,geo_N_4,sum_mrnevn,0.87
Northeast,geo_N_4,sum_night,0.87
Northeast,geo_N_4,sprfl_day,0.87
Northeast,geo_N_4,sprfl_mrnevn,0.87
Northeast,geo_N_4,sprfl_night,0.87
Northeast,geo_N_4,wntr_day,0.87
Northeast,geo_N_4,wntr_mrnevn,0.87
Northeast,geo_N_4,wntr_night,0.87
Northeast,geo_N_4,peak,0.87
Northeast,geo_N_5,sum_day,0.87
Northeast,geo_N_5,sum_mrnevn,0.87
Northeast,geo_N_5,sum_night,0.87
Northeast,geo_N_5,sprfl_day,0.87
Northeast,geo_N_5,sprfl_mrnevn,0.87
Northeast,geo_N_5,sprfl_night,0.87
Northeast,geo_N_5,wntr_day,0.87
Northeast,geo_N_5,wntr_mrnevn,0.87
Northeast,geo_N_5,wntr_night,0.87
Northeast,geo_N_5,peak,0.87
Northeast,geo_N_6,sum_day,0.87
Northeast,geo_N_6,sum_mrnevn,0.87
Northeast,geo_N_6,sum_night,0.87
Northeast,geo_N_6,sprfl_day,0.87
Northeast,geo_N_6,sprfl_mrnevn,0.87
Northeast,geo_N_6,sprfl_night,0.87
Northeast,geo_N_6,wntr_day,0.87
Northeast,geo_N_6,wntr_mrnevn,0.87
Northeast,geo_N_6,wntr_night,0.87
Northeast,geo_N_6,peak,0.87
Northeast,geo_N_7,sum_day,0.87
Northeast,geo_N_7,sum_mrnevn,0.87
Northeast,geo_N_7,sum_night,0.87
Northeast,geo_N_7,sprfl_day,0.87
Northeast,geo_N_7,sprfl_mrnevn,0.87
Northeast,geo_N_7,sprfl_night,0.87
Northeast,geo_N_7,wntr_day,0.87
Northeast,geo_N_7,wntr_mrnevn,0.87
Northeast,geo_N_7,wntr_night,0.87
Northeast,geo_N_7,peak,0.87
Northeast,geo_N_8,sum_day,0.87
Northeast,geo_N_8,sum_mrnevn,0.87
Northeast,geo_N_8,sum_night,0.87
Northeast,geo_N_8,sprfl_day,0.87
Northeast,geo_N_8,sprfl_mrnevn,0.87
Northeast,geo_N_8,sprfl_night,0.87
Northeast,geo_N_8,wntr_day,0.87
Northeast,geo_N_8,wntr_mrnevn,0.87
Northeast,geo_N_8,wntr_night,0.87
Northeast,geo_N_8,peak,0.87
Northeast,geo_N_9,sum_day,0.87
Northeast,geo_N_9,sum_mrnevn,0.87
Northeast,geo_N_9,sum_night,0.87
Northeast,geo_N_9,sprfl_day,0.87
Northeast,geo_N_9,sprfl_mrnevn,0.87
Northeast,geo_N_9,sprfl_night,0.87
Northeast,geo_N_9,wntr_day,0.87
Northeast,geo_N_9,wntr_mrnevn,0.87
Northeast,geo_N_9,wntr_night,0.87
Northeast,geo_N_9,peak,0.87
Northeast,geo_N_10,sum_day,0.87
Northeast,geo_N_10,sum_mrnevn,0.87
Northeast,geo_N_10,sum_night,0.87
Northeast,geo_N_10,sprfl_day,0.87
Northeast,geo_N_10,sprfl_mrnevn,0.87
Northeast,geo_N_10,sprfl_night,0.87
