"state","plant_type_full","Value"
"SC","bio_X",5.9665465275605
"SC","col_X1",5.04092938641101
"SC","col_X2",8.29905200938831
"SC","col_X3",7.86436737346216
"SC","hyd_X",0
"SC","msw_X",1.18132532177381
"SC","ngcc_X1",2.22998396152872
"SC","ngtb_X1",4.79192363554999
"SC","ngtb_X2",4.79625066301834
"SC","ngtb_X3",4.77311533191204
"SC","nuc_X",2.55696031425604
"SC","oth_X",0
"SC","slr_X",0
"SC","stog_X2",0
"SD","col_X2",9.97705276763124
"SD","hyd_X",0
"SD","ngcc_X1",2.31324300886113
"SD","ngtb_X1",4.78481507806009
"SD","ngtb_X2",4.67206029346305
"SD","ngtb_X3",4.94907532829897
"SD","slr_X",0
"SD","wnd_X",0
"TN","bio_X",5.27282200795189
"TN","col_X1",12.69088755108
"TN","col_X2",9.02863627584686
"TN","hyd_X",0
"TN","msw_X",0.055147999998789
"TN","ngcc_X1",2.26961023023718
"TN","ngtb_X1",4.78903373593178
"TN","ngtb_X2",4.77744207748133
"TN","ngtb_X3",4.78343849578659
"TN","nuc_X",2.55696031441973
"TN","oth_X",3.29169977302088
"TN","slr_X",0
"TN","stog_X2",0
"TN","wnd_X",0
"TX","bio_X",5.48798601833604
"TX","col_X1",8.9646697857029
"TX","col_X2",7.71809510780388
"TX","col_X3",6.72979910643494
"TX","hyd_X",0
"TX","msw_X",0.0772071999699029
"TX","ngcc_X1",2.24737903270811
"TX","ngcc_X2",2.22431893828506
"TX","ngcc_X3",2.21329416653039
"TX","ngtb_X1",4.79179015327813
"TX","ngtb_X2",4.81302912200984
"TX","ngtb_X3",4.7894417440102
"TX","nuc_X",2.55696031433188
"TX","oth_X",3.32926370892721
"TX","slr_X",0
"TX","wnd_X",0
"UT","col_X1",5.95569954475212
"UT","col_X2",6.1170946316331
"UT","col_X3",3.26872474089985
"UT","geo_X",0
"UT","hyd_X",0
"UT","ngcc_X1",2.21489550918834
"UT","ngtb_X1",4.79192363562942
"UT","ngtb_X2",4.79170995039315
"UT","ngtb_X3",4.79192363555293
"UT","oth_X",0
"UT","slr_X",0
"UT","wnd_X",0
"VA","bio_X",6.3154819379466
"VA","col_X1",3.83962268878325
"VA","col_X2",8.61106652078513
"VA","col_X3",5.27905402489939
"VA","hyd_X",0
"VA","msw_X",6.5966536808385
"VA","ngcc_X1",2.28385389578721
"VA","ngtb_X1",4.73598465455533
"VA","ngtb_X2",4.75673313433082
"VA","ngtb_X3",4.76711772972892
"VA","nuc_X",2.55696031455666
"VA","oth_X",3.28879493829742
"VA","slr_X",0
"VA","stog_X2",0
"VT","bio_X",5.27655828406014
"VT","col_X1",3.21158773839379
"VT","hyd_X",0
"VT","ngtb_X1",4.79192363495423
"VT","ngtb_X3",4.79192363610526
"VT","oth_X",0
"VT","slr_X",0
"VT","wnd_X",0
"WA","bio_X",5.27369226775235
"WA","col_X1",3.24150199362823
"WA","col_X2",9.26274011299545
"WA","hyd_X",0
"WA","msw_X",2.22797920003966
"WA","ngcc_X1",2.26023720689838
"WA","ngtb_X1",4.79192363603326
"WA","ngtb_X2",4.78138632904714
"WA","ngtb_X3",4.7828262307864
"WA","nuc_X",2.55696031432474
"WA","oth_X",3.38761974943558
"WA","slr_X",0
"WA","stog_X1",0
"WA","wnd_X",0
"WI","bio_X",5.89484796302345
"WI","col_X1",7.62657814809686
"WI","col_X2",10.6060242497071
"WI","col_X3",5.43197664286734
"WI","hyd_X",0
"WI","msw_X",2.09171665382421
"WI","ngcc_X1",2.27540416907046
"WI","ngtb_X1",4.78770156672414
"WI","ngtb_X2",4.78741236465035
"WI","ngtb_X3",4.74571712864368
"WI","nuc_X",2.5569603147661
"WI","oth_X",3.21419709007938
"WI","slr_X",0
"WI","wnd_X",0
"WV","col_X1",7.45234504724685
"WV","col_X2",7.62136592183391
"WV","col_X3",10.662592857632
"WV","hyd_X",0
"WV","ngtb_X1",4.78703313605968
"WV","ngtb_X2",4.79192363587432
"WV","ngtb_X3",4.7919236359447
"WV","oth_X",0
"WV","wnd_X",0
"WY","col_X1",3.29382000832145
"WY","col_X2",11.2164450497801
"WY","col_X3",9.50972262417609
"WY","hyd_X",0
"WY","ngcc_X1",2.21329416616875
"WY","ngtb_X1",4.79192363570346
"WY","ngtb_X2",4.75719214551722
"WY","ngtb_X3",4.79192363596154
"WY","oth_X",3.21158773770234
"WY","slr_X",0
"WY","wnd_X",0
"CT","col_N",6.87
"MA","col_N",6.87
"ME","col_N",6.87
"NH","col_N",6.87
"RI","col_N",6.87
"VT","col_N",6.87
"CT","col_Nccs",9.05
"MA","col_Nccs",9.05
"ME","col_Nccs",9.05
"NH","col_Nccs",9.05
"RI","col_Nccs",9.05
"VT","col_Nccs",9.05
"CT","ngcc_N",3.11
"MA","ngcc_N",3.11
"ME","ngcc_N",3.11
"NH","ngcc_N",3.11
"RI","ngcc_N",3.11
"VT","ngcc_N",3.11
"CT","ngcc_Nccs",6.45
"MA","ngcc_Nccs",6.45
"ME","ngcc_Nccs",6.45
"NH","ngcc_Nccs",6.45
"RI","ngcc_Nccs",6.45
"VT","ngcc_Nccs",6.45
"CT","ngtb_N",9.87
"MA","ngtb_N",9.87
"ME","ngtb_N",9.87
"NH","ngtb_N",9.87
"RI","ngtb_N",9.87
"VT","ngtb_N",9.87
"CT","nuc_N",2.04
"MA","nuc_N",2.04
"ME","nuc_N",2.04
"NH","nuc_N",2.04
"RI","nuc_N",2.04
"VT","nuc_N",2.04
"CT","bio_N",5
"MA","bio_N",5
"ME","bio_N",5
"NH","bio_N",5
"RI","bio_N",5
"VT","bio_N",5
"CT","lfg_N_hi",8.33
"MA","lfg_N_hi",8.33
"ME","lfg_N_hi",8.33
"NH","lfg_N_hi",8.33
"RI","lfg_N_hi",8.33
"VT","lfg_N_hi",8.33
"CT","lfg_N_lo",8.33
"MA","lfg_N_lo",8.33
"ME","lfg_N_lo",8.33
"NH","lfg_N_lo",8.33
"RI","lfg_N_lo",8.33
"VT","lfg_N_lo",8.33
"CT","lfg_N_vl",8.33
"MA","lfg_N_vl",8.33
"ME","lfg_N_vl",8.33
"NH","lfg_N_vl",8.33
"RI","lfg_N_vl",8.33
"VT","lfg_N_vl",8.33
"CT","fc_N",48.99732548
"MA","fc_N",48.99732548
"ME","fc_N",48.99732548
"NH","fc_N",48.99732548
"RI","fc_N",48.99732548
"VT","fc_N",48.99732548
"CT","geo_N_1",9.64
"MA","geo_N_1",9.64
"ME","geo_N_1",9.64
"NH","geo_N_1",9.64
"RI","geo_N_1",9.64
"VT","geo_N_1",9.64
