"state","plant_type","load_segment","Value"
"RI","ngtb_X1","sum_day",0.91504413
"VT","ngtb_X1","sum_day",0.91504413
"CT","ngtb_X1","sum_mrnevn",0.91504413
"MA","ngtb_X1","sum_mrnevn",0.91504413
"ME","ngtb_X1","sum_mrnevn",0.91504413
"NH","ngtb_X1","sum_mrnevn",0.91504413
"RI","ngtb_X1","sum_mrnevn",0.91504413
"VT","ngtb_X1","sum_mrnevn",0.91504413
"CT","ngtb_X1","sum_night",0.91504413
"MA","ngtb_X1","sum_night",0.91504413
"ME","ngtb_X1","sum_night",0.91504413
"NH","ngtb_X1","sum_night",0.91504413
"RI","ngtb_X1","sum_night",0.91504413
"VT","ngtb_X1","sum_night",0.91504413
"CT","ngtb_X1","sprfl_day",0.894154588
"MA","ngtb_X1","sprfl_day",0.894154588
"ME","ngtb_X1","sprfl_day",0.894154588
"NH","ngtb_X1","sprfl_day",0.894154588
"RI","ngtb_X1","sprfl_day",0.894154588
"VT","ngtb_X1","sprfl_day",0.894154588
"CT","ngtb_X1","sprfl_mrnevn",0.894154588
"MA","ngtb_X1","sprfl_mrnevn",0.894154588
"ME","ngtb_X1","sprfl_mrnevn",0.894154588
"NH","ngtb_X1","sprfl_mrnevn",0.894154588
"RI","ngtb_X1","sprfl_mrnevn",0.894154588
"VT","ngtb_X1","sprfl_mrnevn",0.894154588
"CT","ngtb_X1","sprfl_night",0.894154588
"MA","ngtb_X1","sprfl_night",0.894154588
"ME","ngtb_X1","sprfl_night",0.894154588
"NH","ngtb_X1","sprfl_night",0.894154588
"RI","ngtb_X1","sprfl_night",0.894154588
"VT","ngtb_X1","sprfl_night",0.894154588
"CT","ngtb_X1","wntr_day",0.894154588
"MA","ngtb_X1","wntr_day",0.894154588
"ME","ngtb_X1","wntr_day",0.894154588
"NH","ngtb_X1","wntr_day",0.894154588
"RI","ngtb_X1","wntr_day",0.894154588
"VT","ngtb_X1","wntr_day",0.894154588
"CT","ngtb_X1","wntr_mrnevn",0.894154588
"MA","ngtb_X1","wntr_mrnevn",0.894154588
"ME","ngtb_X1","wntr_mrnevn",0.894154588
"NH","ngtb_X1","wntr_mrnevn",0.894154588
"RI","ngtb_X1","wntr_mrnevn",0.894154588
"VT","ngtb_X1","wntr_mrnevn",0.894154588
"CT","ngtb_X1","wntr_night",0.894154588
"MA","ngtb_X1","wntr_night",0.894154588
"ME","ngtb_X1","wntr_night",0.894154588
"NH","ngtb_X1","wntr_night",0.894154588
"RI","ngtb_X1","wntr_night",0.894154588
"VT","ngtb_X1","wntr_night",0.894154588
"CT","ngtb_X1","peak",0.91504413
"MA","ngtb_X1","peak",0.91504413
"ME","ngtb_X1","peak",0.91504413
"NH","ngtb_X1","peak",0.91504413
"RI","ngtb_X1","peak",0.91504413
"VT","ngtb_X1","peak",0.91504413
"CT","ngtb_X2","sum_day",0.915531406
"MA","ngtb_X2","sum_day",0.915531406
"ME","ngtb_X2","sum_day",0.915531406
"NH","ngtb_X2","sum_day",0.915531406
"RI","ngtb_X2","sum_day",0.915531406
"VT","ngtb_X2","sum_day",0.915531406
"CT","ngtb_X2","sum_mrnevn",0.915531406
"MA","ngtb_X2","sum_mrnevn",0.915531406
"ME","ngtb_X2","sum_mrnevn",0.915531406
"NH","ngtb_X2","sum_mrnevn",0.915531406
"RI","ngtb_X2","sum_mrnevn",0.915531406
"VT","ngtb_X2","sum_mrnevn",0.915531406
"CT","ngtb_X2","sum_night",0.915531406
"MA","ngtb_X2","sum_night",0.915531406
"ME","ngtb_X2","sum_night",0.915531406
"NH","ngtb_X2","sum_night",0.915531406
"RI","ngtb_X2","sum_night",0.915531406
"VT","ngtb_X2","sum_night",0.915531406
"CT","ngtb_X2","sprfl_day",0.893337078
"MA","ngtb_X2","sprfl_day",0.893337078
"ME","ngtb_X2","sprfl_day",0.893337078
"NH","ngtb_X2","sprfl_day",0.893337078
"RI","ngtb_X2","sprfl_day",0.893337078
"VT","ngtb_X2","sprfl_day",0.893337078
"CT","ngtb_X2","sprfl_mrnevn",0.893337078
"MA","ngtb_X2","sprfl_mrnevn",0.893337078
"ME","ngtb_X2","sprfl_mrnevn",0.893337078
"NH","ngtb_X2","sprfl_mrnevn",0.893337078
"RI","ngtb_X2","sprfl_mrnevn",0.893337078
"VT","ngtb_X2","sprfl_mrnevn",0.893337078
"CT","ngtb_X2","sprfl_night",0.893337078
"MA","ngtb_X2","sprfl_night",0.893337078
"ME","ngtb_X2","sprfl_night",0.893337078
"NH","ngtb_X2","sprfl_night",0.893337078
"RI","ngtb_X2","sprfl_night",0.893337078
"VT","ngtb_X2","sprfl_night",0.893337078
"CT","ngtb_X2","wntr_day",0.893337078
"MA","ngtb_X2","wntr_day",0.893337078
"ME","ngtb_X2","wntr_day",0.893337078
"NH","ngtb_X2","wntr_day",0.893337078
"RI","ngtb_X2","wntr_day",0.893337078
"VT","ngtb_X2","wntr_day",0.893337078
"CT","ngtb_X2","wntr_mrnevn",0.893337078
"MA","ngtb_X2","wntr_mrnevn",0.893337078
"ME","ngtb_X2","wntr_mrnevn",0.893337078
"NH","ngtb_X2","wntr_mrnevn",0.893337078
"RI","ngtb_X2","wntr_mrnevn",0.893337078
"VT","ngtb_X2","wntr_mrnevn",0.893337078
"CT","ngtb_X2","wntr_night",0.893337078
"MA","ngtb_X2","wntr_night",0.893337078
"ME","ngtb_X2","wntr_night",0.893337078
"NH","ngtb_X2","wntr_night",0.893337078
"RI","ngtb_X2","wntr_night",0.893337078
"VT","ngtb_X2","wntr_night",0.893337078
"CT","ngtb_X2","peak",0.915531406
"MA","ngtb_X2","peak",0.915531406
"ME","ngtb_X2","peak",0.915531406
"NH","ngtb_X2","peak",0.915531406
"RI","ngtb_X2","peak",0.915531406
"VT","ngtb_X2","peak",0.915531406
"CT","ngtb_X3","sum_day",0.904
"MA","ngtb_X3","sum_day",0.904
"ME","ngtb_X3","sum_day",0.904
"NH","ngtb_X3","sum_day",0.904
"RI","ngtb_X3","sum_day",0.904
"VT","ngtb_X3","sum_day",0.904
"CT","ngtb_X3","sum_mrnevn",0.904
"MA","ngtb_X3","sum_mrnevn",0.904
"ME","ngtb_X3","sum_mrnevn",0.904
"NH","ngtb_X3","sum_mrnevn",0.904
"RI","ngtb_X3","sum_mrnevn",0.904
"VT","ngtb_X3","sum_mrnevn",0.904
"CT","ngtb_X3","sum_night",0.904
"MA","ngtb_X3","sum_night",0.904
"ME","ngtb_X3","sum_night",0.904
"NH","ngtb_X3","sum_night",0.904
"RI","ngtb_X3","sum_night",0.904
"VT","ngtb_X3","sum_night",0.904
"CT","ngtb_X3","sprfl_day",0.884
"MA","ngtb_X3","sprfl_day",0.884
"ME","ngtb_X3","sprfl_day",0.884
"NH","ngtb_X3","sprfl_day",0.884
"RI","ngtb_X3","sprfl_day",0.884
"VT","ngtb_X3","sprfl_day",0.884
"CT","ngtb_X3","sprfl_mrnevn",0.884
"MA","ngtb_X3","sprfl_mrnevn",0.884
"ME","ngtb_X3","sprfl_mrnevn",0.884
"NH","ngtb_X3","sprfl_mrnevn",0.884
"RI","ngtb_X3","sprfl_mrnevn",0.884
"VT","ngtb_X3","sprfl_mrnevn",0.884
"CT","ngtb_X3","sprfl_night",0.884
"MA","ngtb_X3","sprfl_night",0.884
"ME","ngtb_X3","sprfl_night",0.884
"NH","ngtb_X3","sprfl_night",0.884
"RI","ngtb_X3","sprfl_night",0.884
"VT","ngtb_X3","sprfl_night",0.884
"CT","ngtb_X3","wntr_day",0.884
"MA","ngtb_X3","wntr_day",0.884
"ME","ngtb_X3","wntr_day",0.884
"NH","ngtb_X3","wntr_day",0.884
"RI","ngtb_X3","wntr_day",0.884
"VT","ngtb_X3","wntr_day",0.884
"CT","ngtb_X3","wntr_mrnevn",0.884
"MA","ngtb_X3","wntr_mrnevn",0.884
"ME","ngtb_X3","wntr_mrnevn",0.884
"NH","ngtb_X3","wntr_mrnevn",0.884
"RI","ngtb_X3","wntr_mrnevn",0.884
"VT","ngtb_X3","wntr_mrnevn",0.884
"CT","ngtb_X3","wntr_night",0.884
"MA","ngtb_X3","wntr_night",0.884
"ME","ngtb_X3","wntr_night",0.884
"NH","ngtb_X3","wntr_night",0.884
"RI","ngtb_X3","wntr_night",0.884
"VT","ngtb_X3","wntr_night",0.884
"CT","ngtb_X3","peak",0.904
"MA","ngtb_X3","peak",0.904
"ME","ngtb_X3","peak",0.904
"NH","ngtb_X3","peak",0.904
"RI","ngtb_X3","peak",0.904
"VT","ngtb_X3","peak",0.904
"CT","stog_X1","sum_day",0.879148838
"MA","stog_X1","sum_day",0.879148838
"ME","stog_X1","sum_day",0.879148838
"NH","stog_X1","sum_day",0.879148838
"RI","stog_X1","sum_day",0.879148838
"VT","stog_X1","sum_day",0.879148838
"CT","stog_X1","sum_mrnevn",0.879148838
"MA","stog_X1","sum_mrnevn",0.879148838
"ME","stog_X1","sum_mrnevn",0.879148838
"NH","stog_X1","sum_mrnevn",0.879148838
"RI","stog_X1","sum_mrnevn",0.879148838
"VT","stog_X1","sum_mrnevn",0.879148838
"CT","stog_X1","sum_night",0.879148838
"MA","stog_X1","sum_night",0.879148838
"ME","stog_X1","sum_night",0.879148838
"NH","stog_X1","sum_night",0.879148838
"RI","stog_X1","sum_night",0.879148838
"VT","stog_X1","sum_night",0.879148838
"CT","stog_X1","sprfl_day",0.813683523
"MA","stog_X1","sprfl_day",0.813683523
"ME","stog_X1","sprfl_day",0.813683523
"NH","stog_X1","sprfl_day",0.813683523
"RI","stog_X1","sprfl_day",0.813683523
"VT","stog_X1","sprfl_day",0.813683523
"CT","stog_X1","sprfl_mrnevn",0.813683523
"MA","stog_X1","sprfl_mrnevn",0.813683523
"ME","stog_X1","sprfl_mrnevn",0.813683523
"NH","stog_X1","sprfl_mrnevn",0.813683523
"RI","stog_X1","sprfl_mrnevn",0.813683523
"VT","stog_X1","sprfl_mrnevn",0.813683523
"CT","stog_X1","sprfl_night",0.813683523
"MA","stog_X1","sprfl_night",0.813683523
"ME","stog_X1","sprfl_night",0.813683523
"NH","stog_X1","sprfl_night",0.813683523
"RI","stog_X1","sprfl_night",0.813683523
"VT","stog_X1","sprfl_night",0.813683523
"CT","stog_X1","wntr_day",0.813683523
"MA","stog_X1","wntr_day",0.813683523
"ME","stog_X1","wntr_day",0.813683523
"NH","stog_X1","wntr_day",0.813683523
"RI","stog_X1","wntr_day",0.813683523
"VT","stog_X1","wntr_day",0.813683523
"CT","stog_X1","wntr_mrnevn",0.813683523
"MA","stog_X1","wntr_mrnevn",0.813683523
"ME","stog_X1","wntr_mrnevn",0.813683523
"NH","stog_X1","wntr_mrnevn",0.813683523
"RI","stog_X1","wntr_mrnevn",0.813683523
"VT","stog_X1","wntr_mrnevn",0.813683523
"CT","stog_X1","wntr_night",0.813683523
"MA","stog_X1","wntr_night",0.813683523
"ME","stog_X1","wntr_night",0.813683523
"NH","stog_X1","wntr_night",0.813683523
"RI","stog_X1","wntr_night",0.813683523
"VT","stog_X1","wntr_night",0.813683523
"CT","stog_X1","peak",0.879148838
"MA","stog_X1","peak",0.879148838
"ME","stog_X1","peak",0.879148838
"NH","stog_X1","peak",0.879148838
"RI","stog_X1","peak",0.879148838
"VT","stog_X1","peak",0.879148838
"CT","stog_X2","sum_day",0.878408445
"MA","stog_X2","sum_day",0.878408445
"ME","stog_X2","sum_day",0.878408445
"NH","stog_X2","sum_day",0.878408445
