"state","plant_type_full","Value"
"OR","ngcc_X1",14.5353928306121
"OR","ngtb_X1",11.2698911308305
"OR","ngtb_X2",11.04745906602
"OR","ngtb_X3",11.04745906875
"OR","oth_X",0
"OR","slr_X",20.6915295983529
"OR","wnd_X",47.6538110125883
"PA","bio_X",185.620755478231
"PA","col_X1",126.968417327923
"PA","col_X2",118.497807363032
"PA","col_X3",75.9330613915141
"PA","hyd_X",92.6869600508972
"PA","msw_X",11.4471465481173
"PA","ngcc_X1",13.0629742285097
"PA","ngcc_X2",12.6672284216867
"PA","ngtb_X1",11.2688228214699
"PA","ngtb_X2",17.3898757782706
"PA","ngtb_X3",15.6631585090286
"PA","nuc_X",131.239238507375
"PA","oth_X",3.35740957763158
"PA","slr_X",20.691529600489
"PA","stog_X2",0
"PA","wnd_X",47.6538110137351
"RI","col_X1",86.0917957423077
"RI","col_X2",0
"RI","hyd_X",92.6869600625
"RI","ngcc_X1",12.6801328801789
"RI","ngtb_X1",11.0474590692414
"RI","ngtb_X3",11.0474590674074
"RI","slr_X",20.6915296
"RI","wnd_X",79.3892328152381
"SC","bio_X",205.387202482771
"SC","col_X1",123.044990457413
"SC","col_X2",84.8514394294938
"SC","col_X3",59.3160424697845
"SC","hyd_X",91.8657524868577
"SC","msw_X",12.4401538550687
"SC","ngcc_X1",12.7146588776147
"SC","ngtb_X1",19.9479137602611
"SC","ngtb_X2",12.456289040667
"SC","ngtb_X3",17.680099723548
"SC","nuc_X",131.239238498349
"SC","oth_X",0
"SC","slr_X",20.6915295991641
"SC","stog_X2",0
"SD","col_X2",59.5278169263668
"SD","hyd_X",92.6869600583596
"SD","ngcc_X1",12.7422164595679
"SD","ngtb_X1",11.0474590683991
"SD","ngtb_X2",11.273593033972
"SD","ngtb_X3",15.8296609915082
"SD","slr_X",20.6915296
"SD","wnd_X",47.6538110114943
"TN","bio_X",273.33432178783
"TN","col_X1",80.4499641106463
"TN","col_X2",164.008330230441
"TN","hyd_X",92.6869600501118
"TN","msw_X",0.992664
"TN","ngcc_X1",13.1693858700671
"TN","ngtb_X1",11.047459068266
"TN","ngtb_X2",11.0474590711193
"TN","ngtb_X3",15.3992954504732
"TN","nuc_X",131.239238515901
"TN","oth_X",1.72724735080976
"TN","slr_X",20.6915296015259
"TN","stog_X2",0
"TN","wnd_X",47.653811
"TX","bio_X",211.072785793742
"TX","col_X1",54.414825848973
"TX","col_X2",94.5228999478178
"TX","col_X3",70.3672173844957
"TX","hyd_X",92.6869600589403
"TX","msw_X",0.173910065395833
"TX","ngcc_X1",13.4167916546278
"TX","ngcc_X2",12.6855244660094
"TX","ngcc_X3",12.66722841875
"TX","ngtb_X1",12.4225816695779
"TX","ngtb_X2",12.2561167451501
"TX","ngtb_X3",14.6062962456624
"TX","nuc_X",131.239238508543
"TX","oth_X",23.4247514621514
"TX","slr_X",20.6915295998851
"TX","wnd_X",47.6538110136382
"UT","col_X1",152.085473046036
"UT","col_X2",54.7608745054592
"UT","col_X3",77.325631945433
"UT","geo_X",174.182613687351
"UT","hyd_X",92.6869600702948
"UT","ngcc_X1",12.6686332282889
"UT","ngtb_X1",11.0474590685251
"UT","ngtb_X2",16.4715235223496
"UT","ngtb_X3",11.487361992775
"UT","oth_X",0
"UT","slr_X",20.6915296002182
"UT","wnd_X",47.6538110173364
"VA","bio_X",174.352312579226
"VA","col_X1",269.797663992049
"VA","col_X2",77.1881674910857
"VA","col_X3",121.61474544162
"VA","hyd_X",92.6869600519106
"VA","msw_X",27.0129734676995
"VA","ngcc_X1",13.0630127699537
"VA","ngtb_X1",11.1509448057766
"VA","ngtb_X2",11.1133544021485
"VA","ngtb_X3",14.369254652849
"VA","nuc_X",131.239238507005
"VA","oth_X",10.687611
"VA","slr_X",20.691529599968
"VA","stog_X2",0
"VT","bio_X",136.722297400485
"VT","col_X1",85.9592487607143
"VT","hyd_X",92.6869600548198
"VT","ngtb_X1",12.9992556615741
"VT","ngtb_X3",16.3588551378225
"VT","oth_X",0
"VT","slr_X",20.691529599665
"VT","wnd_X",47.6538110152318
"WA","bio_X",218.979332641429
"WA","col_X1",199.873682278206
"WA","col_X2",60.41853419412
"WA","hyd_X",92.6768570190682
"WA","msw_X",2.84563679961538
"WA","ngcc_X1",12.7992999709591
"WA","ngtb_X1",19.4639973640872
"WA","ngtb_X2",11.9744734619069
"WA","ngtb_X3",16.4987978439886
"WA","nuc_X",131.2392385
"WA","oth_X",25.8800918895349
"WA","slr_X",20.6915295989848
"WA","stog_X1",0
"WA","wnd_X",47.6538110136538
"WI","bio_X",189.075922720831
"WI","col_X1",110.739230269521
"WI","col_X2",65.4471197742563
"WI","col_X3",111.605199743356
"WI","hyd_X",92.686960053839
"WI","msw_X",1.61978070049918
"WI","ngcc_X1",12.7496189910947
"WI","ngtb_X1",12.0324442287891
"WI","ngtb_X2",12.6837108614279
"WI","ngtb_X3",19.6423300349396
"WI","nuc_X",131.239238491446
"WI","oth_X",23.6209614551471
"WI","slr_X",20.6915296
"WI","wnd_X",47.653811014834
"WV","col_X1",59.3089410562495
"WV","col_X2",64.2973043945866
"WV","col_X3",48.0863291954023
"WV","hyd_X",92.686960050054
"WV","ngtb_X1",11.0474590668605
"WV","ngtb_X2",11.047459068088
"WV","ngtb_X3",21.5871606756757
"WV","oth_X",0
"WV","wnd_X",47.653811018505
"WY","col_X1",91.4477523572533
"WY","col_X2",112.685026806028
"WY","col_X3",63.4413287343294
"WY","hyd_X",92.6869600523525
"WY","ngcc_X1",12.667228419
"WY","ngtb_X1",17.7598392585654
"WY","ngtb_X2",11.6200384305835
"WY","ngtb_X3",11.0474590666667
"WY","oth_X",80.4602690869565
"WY","slr_X",20.6915295978261
"WY","wnd_X",47.6538110158749
"CT","col_N",48.9
"MA","col_N",48.9
"ME","col_N",48.9
"NH","col_N",48.9
"RI","col_N",48.9
"VT","col_N",48.9
"CT","col_Nccs",63.21
"MA","col_Nccs",63.21
"ME","col_Nccs",63.21
"NH","col_Nccs",63.21
"RI","col_Nccs",63.21
