"state","plant_type","pollutant","Value"
"NE","ngtb_X1","CO2",53.05666667
"SD","ngtb_X1","CO2",53.05666667
"IA","ngtb_X2","CO2",53.05666667
"KS","ngtb_X2","CO2",53.05666667
"MN","ngtb_X2","CO2",53.05666667
"MO","ngtb_X2","CO2",53.05666667
"ND","ngtb_X2","CO2",53.05666667
"NE","ngtb_X2","CO2",53.05666667
"SD","ngtb_X2","CO2",53.05666667
"IA","ngtb_X3","CO2",53.05666667
"KS","ngtb_X3","CO2",53.05666667
"MN","ngtb_X3","CO2",53.05666667
"MO","ngtb_X3","CO2",53.05666667
"ND","ngtb_X3","CO2",53.05666667
"NE","ngtb_X3","CO2",53.05666667
"SD","ngtb_X3","CO2",53.05666667
"IA","stog_X1","CO2",76.89
"KS","stog_X1","CO2",76.89
"MN","stog_X1","CO2",76.89
"MO","stog_X1","CO2",76.89
"ND","stog_X1","CO2",76.89
"NE","stog_X1","CO2",76.89
"SD","stog_X1","CO2",76.89
"IA","stog_X2","CO2",76.89
"KS","stog_X2","CO2",76.89
"MN","stog_X2","CO2",76.89
"MO","stog_X2","CO2",76.89
"ND","stog_X2","CO2",76.89
"NE","stog_X2","CO2",76.89
"SD","stog_X2","CO2",76.89
"IA","stog_X3","CO2",76.89
"KS","stog_X3","CO2",76.89
"MN","stog_X3","CO2",76.89
"MO","stog_X3","CO2",76.89
"ND","stog_X3","CO2",76.89
"NE","stog_X3","CO2",76.89
"SD","stog_X3","CO2",76.89
"IA","col_N","CO2",92.4
"KS","col_N","CO2",92.4
"MN","col_N","CO2",92.4
"MO","col_N","CO2",92.4
"ND","col_N","CO2",92.4
"NE","col_N","CO2",92.4
"SD","col_N","CO2",92.4
"IA","col_Nccs","CO2",9.24
"KS","col_Nccs","CO2",9.24
"MN","col_Nccs","CO2",9.24
"MO","col_Nccs","CO2",9.24
"ND","col_Nccs","CO2",9.24
"NE","col_Nccs","CO2",9.24
"SD","col_Nccs","CO2",9.24
"IA","ngcc_N","CO2",53.05666667
"KS","ngcc_N","CO2",53.05666667
"MN","ngcc_N","CO2",53.05666667
"MO","ngcc_N","CO2",53.05666667
"ND","ngcc_N","CO2",53.05666667
"NE","ngcc_N","CO2",53.05666667
"SD","ngcc_N","CO2",53.05666667
"IA","ngcc_Nccs","CO2",5.305666667
"KS","ngcc_Nccs","CO2",5.305666667
"MN","ngcc_Nccs","CO2",5.305666667
"MO","ngcc_Nccs","CO2",5.305666667
"ND","ngcc_Nccs","CO2",5.305666667
"NE","ngcc_Nccs","CO2",5.305666667
"SD","ngcc_Nccs","CO2",5.305666667
"IA","ngtb_N","CO2",53.05666667
"KS","ngtb_N","CO2",53.05666667
"MN","ngtb_N","CO2",53.05666667
"MO","ngtb_N","CO2",53.05666667
"ND","ngtb_N","CO2",53.05666667
"NE","ngtb_N","CO2",53.05666667
"SD","ngtb_N","CO2",53.05666667
"FL","col_X1","CO2",92.4
"FL","col_X2","CO2",92.4
"FL","col_X3","CO2",92.4
"FL","col_X1bio","CO2",92.4
"FL","col_X2bio","CO2",92.4
"FL","col_X3bio","CO2",92.4
"FL","col_X1ccs","CO2",92.4
"FL","col_X2ccs","CO2",92.4
"FL","col_X3ccs","CO2",92.4
"FL","ngcc_X1","CO2",53.05666667
"FL","ngcc_X2","CO2",53.05666667
"FL","ngcc_X3","CO2",53.05666667
"FL","ngtb_X1","CO2",53.05666667
"FL","ngtb_X2","CO2",53.05666667
"FL","ngtb_X3","CO2",53.05666667
"FL","stog_X1","CO2",76.89
"FL","stog_X2","CO2",76.89
"FL","stog_X3","CO2",76.89
"FL","col_N","CO2",92.4
"FL","col_Nccs","CO2",9.24
"FL","ngcc_N","CO2",53.05666667
"FL","ngcc_Nccs","CO2",5.305666667
"FL","ngtb_N","CO2",53.05666667
"DC","col_X1","CO2",92.4
"DE","col_X1","CO2",92.4
"GA","col_X1","CO2",92.4
"MD","col_X1","CO2",92.4
"NC","col_X1","CO2",92.4
"SC","col_X1","CO2",92.4
"VA","col_X1","CO2",92.4
"WV","col_X1","CO2",92.4
"DC","col_X2","CO2",92.4
"DE","col_X2","CO2",92.4
"GA","col_X2","CO2",92.4
"MD","col_X2","CO2",92.4
"NC","col_X2","CO2",92.4
"SC","col_X2","CO2",92.4
"VA","col_X2","CO2",92.4
"WV","col_X2","CO2",92.4
"DC","col_X3","CO2",92.4
"DE","col_X3","CO2",92.4
"GA","col_X3","CO2",92.4
"MD","col_X3","CO2",92.4
"NC","col_X3","CO2",92.4
"SC","col_X3","CO2",92.4
"VA","col_X3","CO2",92.4
"WV","col_X3","CO2",92.4
"DC","col_X1bio","CO2",92.4
"DE","col_X1bio","CO2",92.4
"GA","col_X1bio","CO2",92.4
"MD","col_X1bio","CO2",92.4
"NC","col_X1bio","CO2",92.4
"SC","col_X1bio","CO2",92.4
"VA","col_X1bio","CO2",92.4
"WV","col_X1bio","CO2",92.4
"DC","col_X2bio","CO2",92.4
"DE","col_X2bio","CO2",92.4
"GA","col_X2bio","CO2",92.4
"MD","col_X2bio","CO2",92.4
"NC","col_X2bio","CO2",92.4
"SC","col_X2bio","CO2",92.4
"VA","col_X2bio","CO2",92.4
"WV","col_X2bio","CO2",92.4
"DC","col_X3bio","CO2",92.4
"DE","col_X3bio","CO2",92.4
"GA","col_X3bio","CO2",92.4
"MD","col_X3bio","CO2",92.4
"NC","col_X3bio","CO2",92.4
"SC","col_X3bio","CO2",92.4
"VA","col_X3bio","CO2",92.4
"WV","col_X3bio","CO2",92.4
"DC","col_X1ccs","CO2",92.4
"DE","col_X1ccs","CO2",92.4
"GA","col_X1ccs","CO2",92.4
"MD","col_X1ccs","CO2",92.4
"NC","col_X1ccs","CO2",92.4
"SC","col_X1ccs","CO2",92.4
"VA","col_X1ccs","CO2",92.4
"WV","col_X1ccs","CO2",92.4
"DC","col_X2ccs","CO2",92.4
"DE","col_X2ccs","CO2",92.4
"GA","col_X2ccs","CO2",92.4
"MD","col_X2ccs","CO2",92.4
"NC","col_X2ccs","CO2",92.4
"SC","col_X2ccs","CO2",92.4
"VA","col_X2ccs","CO2",92.4
"WV","col_X2ccs","CO2",92.4
