state,biostep,year,Value
UT,5,2020,0.0001
UT,6,2020,8.9895975
UT,7,2020,10.3712427
UT,8,2020,0.0001
UT,9,2020,0.0001
UT,10,2020,0.0001
UT,11,2020,0.066316267
UT,12,2020,0.0001
UT,13,2020,0.0001
UT,14,2020,0.000218569
UT,15,2020,0.0001
UT,16,2020,0.0001
UT,17,2020,0.0001
VA,1,2020,44.0278111
VA,2,2020,3.0347759
VA,3,2020,0.20105292
VA,4,2020,0.0006
VA,5,2020,0.3862256
VA,6,2020,0.0006
VA,7,2020,1.019162042
VA,8,2020,27.3151227
VA,9,2020,0.536345333
VA,10,2020,0.0006
VA,11,2020,0.225265944
VA,12,2020,4.557022487
VA,13,2020,0.0005
VA,14,2020,0.06484455
VA,15,2020,0.265088819
VA,16,2020,0.690611142
VA,17,2020,0.372339945
VT,1,2020,2.215759
VT,2,2020,0.1704976
VT,3,2020,0.03160108
VT,4,2020,0.0001
VT,5,2020,1.8987332
VT,6,2020,0.0001
VT,7,2020,0.010250867
VT,8,2020,2.2185488
VT,9,2020,0.045992968
VT,10,2020,10.5093365
VT,11,2020,0.0001
VT,12,2020,0.234777069
VT,13,2020,0.0001
VT,14,2020,0.0001
VT,15,2020,0.013089727
VT,16,2020,0.0001
VT,17,2020,0.001551954
WA,1,2020,15.9862313
WA,2,2020,1.8778877
WA,3,2020,3.98275136
WA,4,2020,28.1229689
WA,5,2020,0.0001
WA,6,2020,0.0001
WA,7,2020,43.9993736
WA,8,2020,0.0001
WA,9,2020,0.48607
WA,10,2020,12.06681176
WA,11,2020,0.0001
WA,12,2020,0.0001
WA,13,2020,0.0001
WA,14,2020,2.260873318
WA,15,2020,0.0001
WA,16,2020,0.0001
WA,17,2020,0.0001
WI,1,2020,20.6344333
WI,2,2020,1.5589067
WI,3,2020,0.09543044
WI,4,2020,5.7927791
WI,5,2020,7.0837259
WI,6,2020,0.0002
WI,7,2020,3.789758259
WI,8,2020,3.131013544
WI,9,2020,4.065488047
WI,10,2020,7.4278229
WI,11,2020,0.039097049
WI,12,2020,0.345317107
WI,13,2020,0.0002
WI,14,2020,0.0192299
WI,15,2020,0.0002
WI,16,2020,10.63419511
WI,17,2020,0.0002
WV,1,2020,6.3262576
WV,2,2020,0.5054816
WV,3,2020,0.08387232
WV,4,2020,0.0002
WV,5,2020,2.775097
WV,6,2020,0.0002
WV,7,2020,0.230657673
WV,8,2020,4.0318187
WV,9,2020,2.196189125
WV,10,2020,18.4076139
WV,11,2020,0.0002
WV,12,2020,0.822547948
WV,13,2020,0.0002
WV,14,2020,0.0002
WV,15,2020,0.099976534
WV,16,2020,0.0002
WV,17,2020,0.05602778
WY,1,2020,1.5311023
WY,2,2020,0.1570894
WY,3,2020,0.00060368
WY,4,2020,3.3519876
WY,5,2020,0.0001
WY,6,2020,4.7470202
WY,7,2020,0.743002
WY,8,2020,0.0001
WY,9,2020,0.0001
WY,10,2020,0.0001
WY,11,2020,0.0001
WY,12,2020,0.238504678
WY,13,2020,0.0001
WY,14,2020,0.0001
WY,15,2020,0.0001
WY,16,2020,0.180742615
WY,17,2020,0.0001
