"state","unit","status","plant_type","renewable","time","generation","vomcost","variable_cost","capacity","fomcost","fixed_cost","total_cost","wholesale_cost"
"MD","ngcc_X2","existing","ngcc","no",2020,0.0445162100003,2.20811490507497,0.09829690681911,0.0245,12.6672284176327,0.310347096232,0.40864400305111,34.24542896
"MD","ngtb_X1","existing","ngtb","no",2020,0.369965996,4.78835754674276,1.7715294689848,1.3064,15.3041374521892,19.99332516754,21.7648546365248,34.24542896
"MD","ngtb_X2","existing","ngtb","no",2020,0.401220242,4.79855665147647,1.9252780609561,0.5071,11.9218909569197,6.045590904254,7.9708689652101,34.24542896
"MD","ngtb_X3","existing","ngtb","no",2020,0.29178,4.79730137013915,1.3997565937792,1.3669,18.6617589661643,25.50875833085,26.9085149246292,34.24542896
"MD","nuc_X","existing","nuc","yes",2020,15.012922,2.55696031458766,38.38744576,1.8504,131.239238488975,242.8450869,281.23253266,34.24542896
"MD","oth_X","existing","oth","no",2020,0.000825,0,0,0.013,0,0,0,34.24542896
"MD","slr_X","existing","slr","yes",2020,0.49431148,0,0,0.3225,20.691529600186,6.67301829606,6.67301829606,34.213084205928
"MD","wnd_X","existing","wnd","yes",2020,0.520269,0,0,0.19,47.6538110168421,9.0542240932,9.0542240932,34.24542896
"ME","bio_X","existing","bio","yes",2020,2.127766417,5.59041153334831,11.895089917868,0.5508,251.618344205701,138.5913839885,150.486473906368,37.63620393
"ME","col_X1","existing","col","no",2020,0.201350724999975,4.67840205311512,0.941999645236101,0.402,137.277938091609,55.185731112827,56.1277307580631,37.63620393
"ME","col_X2","existing","col","no",2020,0,0,0,0.0125,0,0,0,NA
"ME","col_X3","existing","col","no",2020,0.0113066929996,3.39673342108596,0.0384058219937,0.8896,64.9532600882419,57.7824201745,57.8208259964937,37.63620393
"ME","hyd_X","existing","hyd","yes",2020,3.499341,0,0,0.7022,92.6869600568926,65.08478335195,65.08478335195,37.63620393
"ME","msw_X","existing","msw","no",2020,0.32441994,1.85204154084055,0.600839205557,0.2533,6.87347779379787,1.741051925169,2.341891130726,37.63620393
"ME","ngcc_X1","existing","ngcc","no",2020,1.293447,2.21329416618539,2.86277869937,1.3886,12.6672284192712,17.589713383,20.45249208237,37.63620393
"ME","ngtb_X1","existing","ngtb","no",2020,0.417781999,4.76051788640204,1.9888586788563,0.1725,11.0474590702609,1.90568668962,3.8945453684763,37.63620393
"ME","ngtb_X2","existing","ngtb","no",2020,0.007647,4.79192363567412,0.036643840042,0.1901,21.9031421510784,4.16378732292,4.200431162962,37.63620393
"ME","ngtb_X3","existing","ngtb","no",2020,0.001456,4.7919236353022,0.006977040813,0.035,16.6346519971429,0.5822128199,0.589189860713,37.63620393
"ME","oth_X","existing","oth","no",2020,0.105063236,3.49737142362529,0.36744515926,0.2484,20.4718021719002,5.0851956595,5.45264081876,37.63620393
"ME","slr_X","existing","slr","yes",2020,0.00705,0,0,0.0056,20.6915296,0.11587256576,0.11587256576,37.63620393
"ME","wnd_X","existing","wnd","yes",2020,2.493932,0,0,0.9246,47.6538110163314,44.0607136657,44.0607136657,37.63620393
"MI","bio_X","existing","bio","yes",2020,1.409351311,5.28212641883298,7.44437179325,0.4574,190.920208340621,87.326903295,94.77127508825,33.2271966619665
"MI","col_X1","existing","col","no",2020,2.342145822093,3.39238702153171,7.945465089403,0.5344,120.182556358028,64.22555811773,72.171023207133,33.8761685788956
"MI","col_X2","existing","col","no",2020,38.4258961497893,8.00197091196638,307.482903256855,11.2482,93.8267106950712,1055.3816072403,1362.86451049716,34.24542896
"MI","col_X3","existing","col","no",2020,1.2066152330198,4.86488173849424,5.870040412507,0.6604,176.86990462553,116.8048850147,122.674925427207,34.24542896
"MI","hyd_X","existing","hyd","yes",2020,1.649789,0,0,0.3568,92.6869600557455,33.07070734789,33.07070734789,33.2561602805679
"MI","msw_X","existing","msw","no",2020,0.218216575,1.0148450209197,0.2214560046209,0.3079,1.2457707026632,0.38357279935,0.6050288039709,33.783604147808
"MI","ngcc_X1","existing","ngcc","no",2020,24.980083200022,2.27399652848154,56.80462247803,4.7384,12.8914033551127,61.084625657866,117.889248135896,34.24542896
"MI","ngcc_X3","existing","ngcc","no",2020,0.132042999998,2.21329416602491,0.29225000156,0.0303,12.6672284191419,0.3838170211,0.67606702266,34.24542896
"MI","ngtb_X1","existing","ngtb","no",2020,5.241120139,4.7901825290509,25.1059221224946,1.0102,11.6608246079895,11.779765018991,36.8856871414856,34.24542896
"MI","ngtb_X2","existing","ngtb","no",2020,2.120809,4.79956519373549,10.178961058961,2.8237,11.552749599444,32.62149904395,42.800460102911,34.2458700823401
