state,end_state,Value
ME,DE,0
ME,FL,0
ME,GA,0
ME,IA,0
ME,ID,0
ME,IL,0
ME,IN,0
ME,KS,0
ME,KY,0
ME,LA,0
ME,MA,999
ME,MD,0
ME,ME,999
ME,MI,0
ME,MN,0
ME,MO,0
ME,MS,0
ME,MT,0
ME,NC,0
ME,ND,0
ME,NE,0
ME,NH,999
ME,NJ,0
ME,NM,0
ME,NV,0
ME,NY,1.886
ME,OH,0
ME,OK,0
ME,OR,0
ME,PA,0
ME,RI,999
ME,SC,0
ME,SD,0
ME,TN,0
ME,TX,0
ME,UT,0
ME,VA,0
ME,VT,999
ME,WA,0
ME,WI,0
ME,WV,0
ME,WY,0
MI,AL,6.136355683
MI,AR,0.438294508
MI,AZ,0
MI,CA,0
MI,CO,0
MI,CT,0
MI,DC,13.64434185
MI,DE,13.64434185
MI,FL,0
MI,GA,13.64434185
MI,IA,4.791908415
MI,ID,0
MI,IL,999
MI,IN,999
MI,KS,4.791908415
MI,KY,6.136355683
MI,LA,0.438294508
MI,MA,0
MI,MD,13.64434185
MI,ME,0
MI,MI,999
MI,MN,4.791908415
MI,MO,4.791908415
MI,MS,6.136355683
MI,MT,0
MI,NC,13.64434185
MI,ND,4.791908415
MI,NE,4.791908415
MI,NH,0
MI,NJ,7.556140298
MI,NM,0
MI,NV,0
MI,NY,0
MI,OH,999
MI,OK,0.438294508
MI,OR,0
MI,PA,7.556140298
MI,RI,0
MI,SC,13.64434185
MI,SD,4.791908415
MI,TN,6.136355683
MI,TX,0
MI,UT,0
MI,VA,13.64434185
MI,VT,0
MI,WA,0
MI,WI,999
MI,WV,13.64434185
MI,WY,0
MN,AL,1.165935163
MN,AR,2.419161571
MN,AZ,0.502492465
MN,CA,0
MN,CO,0.502492465
MN,CT,0
MN,DC,0.126642681
MN,DE,0.126642681
MN,FL,0
MN,GA,0.126642681
MN,IA,999
MN,ID,0.502492465
MN,IL,4.660427008
MN,IN,4.660427008
MN,KS,999
MN,KY,1.165935163
MN,LA,2.419161571
MN,MA,0
MN,MD,0.126642681
MN,ME,0
MN,MI,4.660427008
MN,MN,999
MN,MO,999
MN,MS,1.165935163
MN,MT,0.502492465
MN,NC,0.126642681
MN,ND,999
MN,NE,999
MN,NH,0
MN,NJ,0.16368111
MN,NM,0.502492465
MN,NV,0.502492465
MN,NY,0
MN,OH,4.660427008
MN,OK,2.419161571
MN,OR,0
MN,PA,0.16368111
MN,RI,0
MN,SC,0.126642681
MN,SD,999
MN,TN,1.165935163
MN,TX,0.711309416
MN,UT,0.502492465
MN,VA,0.126642681
MN,VT,0
MN,WA,0
MN,WI,4.660427008
MN,WV,0.126642681
MN,WY,0.502492465
MO,AL,1.165935163
MO,AR,2.419161571
MO,AZ,0.502492465
MO,CA,0
MO,CO,0.502492465
MO,CT,0
MO,DC,0.126642681
MO,DE,0.126642681
MO,FL,0
MO,GA,0.126642681
MO,IA,999
MO,ID,0.502492465
MO,IL,4.660427008
MO,IN,4.660427008
MO,KS,999
MO,KY,1.165935163
MO,LA,2.419161571
MO,MA,0
MO,MD,0.126642681
MO,ME,0
MO,MI,4.660427008
MO,MN,999
MO,MO,999
MO,MS,1.165935163
MO,MT,0.502492465
MO,NC,0.126642681
MO,ND,999
MO,NE,999
MO,NH,0
MO,NJ,0.16368111
MO,NM,0.502492465
MO,NV,0.502492465
MO,NY,0
MO,OH,4.660427008
MO,OK,2.419161571
MO,OR,0
MO,PA,0.16368111
MO,RI,0
MO,SC,0.126642681
MO,SD,999
MO,TN,1.165935163
MO,TX,0.711309416
MO,UT,0.502492465
MO,VA,0.126642681
MO,VT,0
MO,WA,0
MO,WI,4.660427008
MO,WV,0.126642681
MO,WY,0.502492465
MS,AL,999
MS,AR,2.774779071
MS,AZ,0
MS,CA,0
MS,CO,0
MS,CT,0
MS,DC,8.575084878
MS,DE,8.575084878
MS,FL,0.995715583
MS,GA,8.575084878
MS,IA,1.860451239
MS,ID,0
MS,IL,3.923366378
MS,IN,3.923366378
MS,KS,1.860451239
MS,KY,999
MS,LA,2.774779071
MS,MA,0
MS,MD,8.575084878
MS,ME,0
MS,MI,3.923366378
MS,MN,1.860451239
MS,MO,1.860451239
MS,MS,999
MS,MT,0
MS,NC,8.575084878
MS,ND,1.860451239
MS,NE,1.860451239
MS,NH,0
MS,NJ,0.572431386
MS,NM,0
MS,NV,0
MS,NY,0
MS,OH,3.923366378
MS,OK,2.774779071
MS,OR,0
MS,PA,0.572431386
MS,RI,0
MS,SC,8.575084878
MS,SD,1.860451239
MS,TN,999
MS,TX,0.666527151
MS,UT,0
MS,VA,8.575084878
MS,VT,0
MS,WA,0
MS,WI,3.923366378
MS,WV,8.575084878
MS,WY,0
MT,AL,0
MT,AR,0.347645405
MT,AZ,999
MT,CA,10.43002314
MT,CO,999
MT,CT,0
MT,DC,0
MT,DE,0
MT,FL,0
MT,GA,0
MT,IA,0.522998538
MT,ID,999
MT,IL,0
MT,IN,0
MT,KS,0.522998538
MT,KY,0
MT,LA,0.347645405
MT,MA,0
MT,MD,0
MT,ME,0
MT,MI,0
MT,MN,0.522998538
MT,MO,0.522998538
MT,MS,0
MT,MT,999
MT,NC,0
MT,ND,0.522998538
MT,NE,0.522998538
MT,NH,0
MT,NJ,0
MT,NM,999
MT,NV,999
MT,NY,0
